åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,5,15,5.135032,2.408061,1.270350,0.882274,-2.742183,0.969059,100660.965582,0.000000,2.904289,337.500000,22.759836,216.230226,2.551086,0.283414,0.341905
1,5,16,4.564825,2.535339,0.781886,0.864269,-2.586625,0.661955,100686.737565,0.000000,2.643049,337.500000,14.526726,227.980830,2.336080,0.195923,0.349908
1,5,17,3.450678,2.647127,0.183768,0.826700,-1.367849,0.195109,100778.628109,0.000000,1.367849,360.000000,4.732236,237.910818,1.043734,0.097660,0.368109
1,5,18,2.400487,2.704611,0.000000,0.807961,-1.001349,0.826669,100834.712858,0.000000,1.292604,315.000000,-6.121796,246.511101,0.000000,0.000000,0.368806
1,5,19,1.548407,2.757817,0.000000,0.798286,-1.260440,0.318745,100852.904538,0.000000,1.286473,337.500000,-17.678277,254.310461,0.000000,0.000000,0.363992
1,5,20,1.010781,2.805124,0.000000,0.789979,-1.208330,-0.156186,100824.354944,0.000000,1.208330,0.000000,-29.678220,261.869161,0.000000,0.000000,0.363227
1,5,21,0.445819,2.872483,0.000000,0.785037,-1.251130,0.090963,100872.418661,0.000000,1.251130,360.000000,-41.907365,269.921672,0.000000,0.000000,0.358692
1,5,22,0.151039,2.821531,0.000000,0.788751,-1.378118,0.298428,100876.579546,0.000000,1.387418,337.500000,-54.119128,279.822648,0.000000,0.000000,0.350057
1,5,23,0.086355,2.803911,0.000000,0.820467,-1.274111,0.118316,100894.957405,0.000000,1.274111,360.000000,-65.810544,295.167003,0.000000,0.000000,0.317263
1,6,0,-0.315361,2.794894,0.000000,0.859432,-0.884526,0.670166,100895.626815,0.000000,1.099333,315.000000,-74.947922,327.513268,0.000000,0.000000,0.271623
1,6,1,-0.441153,2.889970,0.000000,0.890185,-0.472901,0.117092,100919.321109,0.000000,0.481713,337.500000,-75.957952,59.399427,0.000000,0.000000,0.238786
1,6,2,-0.483892,2.954432,0.000000,0.898934,0.115675,-0.234357,100910.973988,0.000000,0.260784,112.500000,-67.622445,60.744087,0.000000,0.000000,0.229329
1,6,3,-0.295338,3.024698,0.000000,0.891089,-0.242207,0.500394,101001.741441,0.000000,0.554992,292.500000,-56.148983,77.899171,0.000000,0.000000,0.240298
1,6,4,-0.666424,3.041609,0.000000,0.894138,-0.081714,0.181635,100989.703705,0.000000,0.199079,292.500000,-43.981044,88.409418,0.000000,0.000000,0.231107
1,6,5,-0.527301,3.072367,0.000000,0.908054,-0.309599,-0.259843,101005.557521,0.000000,0.402656,45.000000,-31.733329,96.677814,0.000000,0.000000,0.219490
1,6,6,0.467709,2.996511,0.000000,0.925138,-1.457022,-0.182754,101148.045011,0.000000,1.457022,0.000000,-19.674377,104.274755,0.000000,0.000000,0.218958
1,6,7,0.327552,2.955969,0.000000,0.924634,-1.107031,0.173860,101220.769872,0.000000,1.107031,360.000000,-8.017858,111.999639,0.000000,0.000000,0.217120
1,6,8,0.572861,2.998056,0.079411,0.887853,-1.056922,0.084209,101288.418032,0.000000,1.056922,360.000000,2.988679,120.430501,0.000000,0.079411,0.258003
1,6,9,2.054371,2.957977,0.568749,0.880404,-0.886784,0.086387,101393.583203,0.000000,0.886784,360.000000,13.008501,130.100603,1.062116,0.329672,0.290461
1,6,10,4.453461,2.903751,1.029767,0.897257,-1.716885,-0.533703,101297.920578,0.000000,1.790434,22.500000,21.566649,141.518045,1.229011,0.578003,0.314973
1,6,11,5.809513,2.457889,1.427416,0.888286,-2.384095,-1.041517,101288.216242,0.000000,2.601188,22.500000,28.028955,155.016154,1.515866,0.715083,0.347804
1,6,12,6.204503,2.608437,1.821074,0.929766,-2.594486,-0.977759,101249.848949,0.000000,2.771164,22.500000,31.683572,170.405237,2.439905,0.539568,0.313341
1,6,13,6.488662,2.498683,1.801612,0.940716,-3.028772,-0.855516,101192.980023,0.000000,3.125612,22.500000,31.996782,186.677051,2.305756,0.579857,0.307456
1,6,14,6.413965,2.666296,1.399790,0.941273,-2.915965,-0.268823,101244.676535,0.000000,2.915965,0.000000,28.917358,202.324095,1.276741,0.782425,0.305565
1,6,15,5.688722,2.903204,0.933726,1.022330,-2.807718,0.012097,101292.020805,0.000797,2.807718,360.000000,22.910645,216.199990,0.457607,0.755582,0.211621
1,6,16,5.483246,2.662045,0.553439,1.025174,-2.358236,0.365174,101402.911266,0.002449,2.358236,360.000000,14.680129,227.978511,0.659918,0.386201,0.205143
1,6,17,4.531251,2.641534,0.136189,0.926076,-1.404265,0.095927,101439.267478,0.000000,1.404265,360.000000,4.884666,237.928757,0.159946,0.122569,0.287514
1,6,18,3.437687,2.723855,0.000000,0.858991,-1.150594,0.064630,101566.077264,0.000000,1.150594,360.000000,-5.971867,246.544327,0.000000,0.000000,0.335593
1,6,19,2.491879,2.713661,0.000000,0.833835,-1.373503,0.056370,101521.496245,0.000000,1.373503,360.000000,-17.531135,254.356604,0.000000,0.000000,0.344493
1,6,20,1.743622,2.697165,0.000000,0.801799,-1.393846,0.098455,101540.224197,0.000000,1.393846,360.000000,-29.533331,261.927873,0.000000,0.000000,0.363786
1,6,21,1.296663,2.735720,0.000000,0.798491,-1.338224,0.024099,101613.004781,0.000000,1.338224,360.000000,-41.763422,269.993810,0.000000,0.000000,0.359533
1,6,22,0.848123,2.676974,0.000000,0.793875,-1.364112,-0.028028,101602.655064,0.000000,1.364112,0.000000,-53.973741,279.907047,0.000000,0.000000,0.356596
1,6,23,0.138029,2.660041,0.000000,0.778758,-1.039115,0.173496,101614.085540,0.000000,1.039115,360.000000,-65.660197,295.237153,0.000000,0.000000,0.359834
1,7,0,-0.357308,2.631829,0.000000,0.770485,-1.274245,0.153865,101606.042339,0.000000,1.274245,360.000000,-74.796132,327.379081,0.000000,0.000000,0.359874
1,7,1,-0.698599,2.638126,0.000000,0.765466,-1.198315,-0.213025,101543.692832,0.000000,1.198315,0.000000,-75.880924,58.853644,0.000000,0.000000,0.359247
1,7,2,-1.915668,2.675354,0.000000,0.757364,-0.410255,0.063567,101560.388635,0.000000,0.410255,360.000000,-67.622368,60.322533,0.000000,0.000000,0.347387
1,7,3,-2.102573,2.735058,0.000000,0.750692,-0.341372,0.083478,101664.943467,0.000000,0.347333,337.500000,-56.175233,77.616407,0.000000,0.000000,0.351017
1,7,4,-2.280669,2.734589,0.000000,0.750240,-0.602977,-0.309774,101521.076663,0.000000,0.675624,22.500000,-44.013820,88.193264,0.000000,0.000000,0.348576
1,7,5,-2.475628,2.696115,0.000000,0.768475,-0.778876,0.188593,101571.009490,0.000000,0.791759,337.500000,-31.764395,96.494956,0.000000,0.000000,0.327180
1,7,6,-2.422184,2.658181,0.000000,0.793882,-0.946556,-0.307429,101645.839997,0.000000,0.992152,22.500000,-19.698811,104.108538,0.000000,0.000000,0.302639
1,7,7,-2.249205,2.667690,0.000000,0.775103,-1.111496,-0.605934,101576.345038,0.000000,1.258769,22.500000,-8.031590,111.840376,0.000000,0.000000,0.324223
1,7,8,-2.254117,2.709033,0.105021,0.798451,-0.482247,0.299240,101660.719373,0.000000,0.560052,337.500000,2.989835,120.272063,0.251857,0.091885,0.300796
1,7,9,0.711379,2.669577,0.627951,0.815390,-0.734313,-0.187352,101689.372938,0.000000,0.750113,22.500000,13.029267,129.939706,1.809593,0.219981,0.332787
1,7,10,3.074322,2.896470,1.164645,0.796976,0.425684,-0.094792,101700.479466,0.000000,0.429556,157.500000,21.612149,141.355352,2.356855,0.296565,0.391343
